[Header],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040684,30.02160835,25.43466568,2.54E-05,3.70E-08,1,5,14.00089645,4.999318366,35.95000133,0.033101134,0.004982612,1,-1.29E-08,,,,,,,,,,,,,,,,,,,,,30.02160835,30.02160835,25.43466568,25.43466568,49.69633207,5.764479865,6.232579231,70,1,0,0,1,0.316390991,32.25806427,2,1,1,30.02160835,0,30.02160835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040717,35.01518631,25.43466568,2.38E-05,1.62E-08,1,5,14.00089645,4.999659986,35.95000133,0.031081121,0.004650894,1,-3.28E-08,,,,,,,,,,,,,,,,,,,,,35.01518631,35.01518631,25.43466568,25.43466568,49.69672288,5.76294569,6.355532646,70,1,0,0,1,0.314483643,32.25806427,2,1,1,35.01518631,0,35.01518631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040749,40.00584793,25.43466568,2.25E-05,5.95E-08,1,5,14.00089645,5.000544091,35.96000001,0.029379769,0.004296716,1,-1.06E-07,,,,,,,,,,,,,,,,,,,,,40.00584793,40.00584793,25.43466568,25.43466568,49.65451494,5.759883326,6.45069313,70,1,0,0,1,0.325164795,32.25806427,2,1,1,40.00584793,0,40.00584793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040781,45.02335739,25.43466568,2.18E-05,3.44E-08,1,5,14.00089645,5.00040603,35.96000001,0.02848987,0.004236582,1,-5.00E-08,,,,,,,,,,,,,,,,,,,,,45.02335739,45.02335739,25.43466568,25.43466568,49.66623937,5.759933753,6.547565937,70,1,0,0,1,0.327911377,32.74682236,2,1,1,45.02335739,0,45.02335739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040812,50.01716232,25.43466568,2.14E-05,1.13E-08,1,5,14.00089645,5.000363558,35.96999869,0.027982146,0.004198446,1,-2.11E-08,,,,,,,,,,,,,,,,,,,,,50.01716232,50.01716232,25.43466568,25.43466568,49.72212581,5.760553269,6.646923065,70,1,0,0,1,0.318450928,32.74682236,2,1,1,50.01716232,0,50.01716232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040844,55.03572464,25.43466568,2.12E-05,1.40E-08,1,5,14.00089645,5.000219649,35.96999869,0.027621495,0.004107249,1,-4.86E-08,,,,,,,,,,,,,,,,,,,,,55.03572464,55.03572464,25.43466568,25.43466568,49.64083644,5.761136988,6.716527939,70,1,0,0,1,0.3150177,32.25806427,2,1,1,55.03572464,0,55.03572464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040876,60.06251526,25.43466568,2.10E-05,6.01E-08,1,5,14.00089645,5.000104456,35.98000109,0.027354337,0.004037603,1,-7.06E-08,,,,,,,,,,,,,,,,,,,,,60.06251526,60.06251526,25.43466568,25.43466568,49.74283896,5.760791005,6.773238659,70,1,0,0,1,0.31463623,32.25806427,2,1,1,60.06251526,0,60.06251526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040907,65.03248596,25.43466568,2.06E-05,4.32E-08,1,5,14.00089645,5.000155012,35.98999977,0.026876321,0.00399241,1,-5.03E-08,,,,,,,,,,,,,,,,,,,,,65.03248596,65.03248596,25.43466568,25.43466568,49.74205734,5.761035292,6.827240467,70,1,0,0,1,0.317230225,32.74682236,2,1,1,65.03248596,0,65.03248596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040939,70.05648041,25.43466568,2.02E-05,8.38E-09,1,5,14.00089645,4.999968321,35.98999977,0.026399832,0.003940576,1,-3.52E-08,,,,,,,,,,,,,,,,,,,,,70.05648041,70.05648041,25.43466568,25.43466568,49.72955128,5.761822289,6.86460495,70,1,0,0,1,0.31463623,32.25806427,2,1,1,70.05648041,0,70.05648041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3864040970,75.04495239,25.43466568,1.98E-05,8.38E-09,1,5,14.00089645,4.99997296,35.99999845,0.025885422,0.003861851,1,-3.60E-08,,,,,,,,,,,,,,,,,,,,,75.04495239,75.04495239,25.43466568,25.43466568,49.69476881,5.762512341,6.905936241,68,1,64,0,0,0.316619873,32.25806427,2,1,1,75.04495239,0,75.04495239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
